epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,198.9,0.51337,0.81392,1,0.38847,0.000552614,0.000552614,0.000552614
2,407.912,0.40069,0.84356,1,0.34409,0.00107171,0.00107171,0.00107171
3,628.132,0.40137,0.78291,1,0.43046,0.00155413,0.00155413,0.00155413
4,838.217,0.36813,0.81737,1,0.3743,0.00150197,0.00150197,0.00150197
5,1046.13,0.3499,0.8532,1,0.30721,0.00144696,0.00144696,0.00144696
6,1260.86,0.31946,0.8725,1,0.28016,0.00139195,0.00139195,0.00139195
7,1484.28,0.30047,0.8601,1,0.30373,0.00133693,0.00133693,0.00133693
8,1690.57,0.28528,0.88215,1,0.25226,0.00128192,0.00128192,0.00128192
9,1896.07,0.27794,0.88629,1,0.25834,0.00122691,0.00122691,0.00122691
10,2110.25,0.25648,0.89456,1,0.25433,0.0011719,0.0011719,0.0011719
11,2334,0.25568,0.90076,1,0.24487,0.00111689,0.00111689,0.00111689
12,2552.88,0.23728,0.90214,1,0.23118,0.00106188,0.00106188,0.00106188
13,2767.08,0.23923,0.91178,1,0.21988,0.00100687,0.00100687,0.00100687
14,2972.03,0.22397,0.90627,1,0.21455,0.000951857,0.000951857,0.000951857
15,3179.66,0.2099,0.9173,1,0.21562,0.000896846,0.000896846,0.000896846
16,3385.37,0.21538,0.92419,1,0.18937,0.000841835,0.000841835,0.000841835
17,3588.26,0.20581,0.92143,1,0.17849,0.000786824,0.000786824,0.000786824
18,3792.76,0.18425,0.91592,1,0.1996,0.000731813,0.000731813,0.000731813
19,3998.68,0.18235,0.91937,1,0.19786,0.000676802,0.000676802,0.000676802
20,4203.93,0.18602,0.92557,1,0.17152,0.000621791,0.000621791,0.000621791
21,4413.33,0.16999,0.93315,1,0.18337,0.00056678,0.00056678,0.00056678
22,4627.08,0.17293,0.92764,1,0.18627,0.000511769,0.000511769,0.000511769
23,4837.22,0.1585,0.92143,1,0.18193,0.000456758,0.000456758,0.000456758
24,5042.99,0.15653,0.9297,1,0.17366,0.000401747,0.000401747,0.000401747
25,5255.52,0.14855,0.9297,1,0.18555,0.000346736,0.000346736,0.000346736
26,5461.21,0.14998,0.93039,1,0.17348,0.000291725,0.000291725,0.000291725
27,5663.45,0.14342,0.93866,1,0.17094,0.000236714,0.000236714,0.000236714
28,5869.69,0.12827,0.93315,1,0.17287,0.000181703,0.000181703,0.000181703
29,6077.59,0.12979,0.93935,1,0.17255,0.000126692,0.000126692,0.000126692
30,6288.28,0.12623,0.93453,1,0.16867,7.1681e-05,7.1681e-05,7.1681e-05
